T X Y S0 S1 S2 S3 
2 7696.358 9938.058 5 14 28 59 
3 7698.746 9940.182 4 8 27 49 
4 7707.722 9948.388 4 17 27 45 
5 7721.455 9962.509 5 8 24 44 
6 7748.653 9997.091 4 13 20 40 
7 7794.385 10060.027 3 16 20 46 
8 7821.845 10093.942 4 19 26 57 
9 7849.749 10121.407 3 11 25 40 
10 7903.811 10170.666 3 17 25 49 
11 7968.634 10227.042 3 9 20 58 
12 7975.038 10232.691 3 15 22 55 
13 7977.207 10234.603 3 16 20 58 
14 7991.992 10247.391 5 8 22 48 
15 7998.375 10256.064 3 16 24 57 
16 8003.971 10263.514 5 16 22 56 
17 8013.764 10276.858 5 9 26 41 
18 8025.913 10297.762 3 12 24 49 
19 8027.137 10299.764 3 15 27 45 
20 8033.863 10315.553 5 10 24 51 
21 8041.191 10333.211 4 11 25 49 
22 8047.31 10351.803 5 19 26 47 
23 8062.057 10401.952 3 9 27 45 
24 8064.85 10410.736 3 16 25 42 
25 8079.077 10455.548 5 10 25 57 
26 8106.376 10561.072 5 19 26 50 
27 8112.223 10588.526 5 13 24 55 
28 8114.306 10598.322 3 10 26 54 
29 8112.223 10588.526 3 13 26 58 
30 8106.376 10561.072 3 12 25 44 
31 8079.077 10455.548 5 15 21 42 
32 8064.85 10410.736 3 19 28 47 
33 8062.057 10401.952 5 19 29 46 
34 8047.31 10351.803 5 13 24 51 
35 8041.191 10333.211 3 12 23 58 
36 8033.863 10315.553 4 8 24 45 
37 8027.137 10299.764 3 12 24 58 
38 8025.913 10297.762 5 19 26 57 
39 8013.764 10276.858 3 11 21 49 
40 8003.971 10263.514 3 11 24 49 
41 7998.375 10256.064 4 16 22 48 
42 7991.992 10247.391 4 18 24 51 
43 7977.207 10234.603 4 16 22 54 
44 7975.038 10232.691 3 16 20 52 
45 7968.634 10227.042 5 13 21 42 
46 7903.811 10170.666 3 19 25 55 
47 7849.749 10121.407 4 19 20 54 
48 7821.845 10093.942 3 19 29 44 
49 7794.385 10060.027 4 10 25 40 
50 7748.653 9997.091 5 19 21 45 
51 7721.455 9962.509 5 12 27 44 
52 7707.722 9948.388 3 15 23 51 
53 7698.746 9940.182 3 12 25 58 
54 7696.358 9938.058 4 11 27 41 
55 7690.356 9933.076 3 9 21 47 
56 7696.358 9938.058 5 9 22 44 
57 7698.746 9940.182 3 9 29 41 
58 7707.722 9948.388 5 10 20 56 
59 7721.455 9962.509 4 14 20 40 
60 7748.653 9997.091 3 10 21 47 
61 7794.385 10060.027 3 18 24 59 
62 7821.845 10093.942 4 19 26 47 
63 7849.749 10121.407 3 12 20 49 
64 7903.811 10170.666 3 13 29 53 
65 7968.634 10227.042 4 14 24 50 
66 7975.038 10232.691 4 11 25 51 
67 7977.207 10234.603 5 19 28 45 
68 7991.992 10247.391 4 18 21 40 
69 7998.375 10256.064 3 10 28 44 
70 8003.971 10263.514 4 11 20 41 
71 8013.764 10276.858 4 17 22 46 
72 8025.913 10297.762 5 12 26 55 
73 8027.137 10299.764 5 18 24 58 
74 8033.863 10315.553 4 16 22 58 
75 8041.191 10333.211 4 10 21 55 
76 8047.31 10351.803 4 15 20 49 
77 8062.057 10401.952 3 15 26 46 
78 8064.85 10410.736 5 18 23 58 
79 8079.077 10455.548 4 10 28 47 
80 8106.376 10561.072 4 12 21 46 
81 8112.223 10588.526 5 8 28 47 
82 8114.306 10598.322 3 15 20 43 
83 8112.223 10588.526 3 10 25 49 
84 8106.376 10561.072 3 19 21 59 
85 8079.077 10455.548 5 18 28 42 
86 8064.85 10410.736 3 10 29 42 
87 8062.057 10401.952 3 17 25 53 
88 8047.31 10351.803 3 17 26 54 
89 8041.191 10333.211 5 12 23 45 
90 8033.863 10315.553 3 16 27 58 
91 8027.137 10299.764 4 16 24 59 
92 8025.913 10297.762 3 8 21 51 
93 8013.764 10276.858 5 16 26 40 
94 8003.971 10263.514 3 16 29 55 
95 7998.375 10256.064 4 18 21 42 
96 7991.992 10247.391 3 14 29 46 
97 7977.207 10234.603 5 18 26 48 
98 7975.038 10232.691 5 13 20 56 
99 7968.634 10227.042 5 12 24 44 
100 7903.811 10170.666 3 8 28 50 
101 7849.749 10121.407 4 11 25 41 
102 7821.845 10093.942 4 11 21 59 
103 7794.385 10060.027 3 10 23 44 
104 7748.653 9997.091 5 10 28 55 
105 7721.455 9962.509 5 11 21 42 
106 7707.722 9948.388 4 12 29 52 
107 7698.746 9940.182 4 13 23 52 
108 7696.358 9938.058 4 9 24 58 
109 7690.356 9933.076 3 12 27 56 
110 7696.358 9938.058 4 10 26 47 
111 7698.746 9940.182 3 15 25 42 
112 7707.722 9948.388 5 13 28 48 
113 7721.455 9962.509 4 18 24 53 
114 7748.653 9997.091 4 15 25 43 
115 7794.385 10060.027 3 11 28 42 
116 7821.845 10093.942 3 13 25 44 
117 7849.749 10121.407 4 15 22 50 
118 7903.811 10170.666 4 11 29 56 
119 7903.811 10170.666 3 16 24 51 
