T X Y S0 S1 S2 S3 
2 7541.689 8782.142 4 18 20 53 
3 7537.922 8784.188 3 18 25 53 
4 7530.182 8792.605 3 11 27 45 
5 7507.143 8820.204 5 17 20 59 
6 7472.243 8861.924 3 9 23 55 
7 7470.068 8865.116 3 10 29 40 
8 7450.067 8894.427 5 14 24 56 
9 7437.41 8917.288 4 9 26 49 
10 7425.364 8942.318 3 16 23 56 
11 7425.364 8942.318 3 14 23 52 
12 7425.364 8942.318 5 10 22 45 
13 7425.364 8942.318 3 14 22 40 
14 7425.364 8942.318 5 15 20 55 
15 7425.364 8942.318 4 16 25 58 
16 7425.364 8942.318 4 11 29 58 
17 7425.364 8942.318 5 9 23 48 
18 7425.364 8942.318 5 11 29 59 
19 7425.364 8942.318 4 12 25 49 
20 7425.364 8942.318 3 18 21 57 
21 7404.359 8996.982 5 10 27 49 
22 7401.392 9005.077 5 9 21 47 
23 7386.132 9049.966 5 17 28 52 
24 7369.713 9098.158 4 10 20 58 
25 7365.577 9110.478 5 16 25 52 
26 7359.8 9127.725 5 8 23 56 
27 7353.962 9143.948 4 14 23 47 
28 7345.464 9167.555 4 18 29 43 
29 7324.402 9218.649 5 16 26 45 
30 7314.479 9250.072 3 15 20 41 
31 7308.69 9280.351 5 14 24 53 
32 7304.977 9310.329 5 17 21 53 
33 7305.312 9337.338 3 15 25 48 
34 7306.56 9380.927 5 9 26 49 
35 7307.818 9422.903 5 18 25 40 
36 7308.693 9452.992 5 16 24 40 
37 7310.374 9482.27 3 10 24 56 
38 7318.472 9523.078 3 10 27 59 
39 7321.084 9539.991 3 16 22 46 
40 7331.528 9561.385 3 13 28 43 
41 7321.084 9539.991 5 14 25 44 
42 7318.472 9523.078 4 13 21 58 
43 7310.374 9482.27 4 18 24 42 
44 7308.693 9452.992 3 13 23 52 
45 7307.818 9422.903 3 9 21 54 
46 7306.56 9380.927 4 17 27 53 
47 7305.312 9337.338 4 17 24 43 
48 7304.977 9310.329 4 9 28 46 
49 7308.69 9280.351 5 8 27 56 
50 7314.479 9250.072 3 17 23 44 
51 7324.402 9218.649 4 12 27 51 
52 7345.464 9167.555 4 13 20 53 
53 7353.962 9143.948 3 17 20 57 
54 7359.8 9127.725 5 12 23 43 
55 7365.577 9110.478 4 13 29 44 
56 7369.713 9098.158 5 16 27 46 
57 7386.132 9049.966 4 11 27 42 
58 7401.392 9005.077 3 16 24 47 
59 7404.359 8996.982 4 18 24 41 
60 7425.364 8942.318 5 14 23 51 
61 7437.41 8917.288 4 17 29 57 
62 7450.067 8894.427 3 10 28 46 
63 7470.068 8865.116 3 11 23 45 
64 7472.243 8861.924 5 16 20 50 
65 7507.143 8820.204 3 19 29 42 
66 7530.182 8792.605 5 18 24 54 
67 7537.922 8784.188 5 15 24 47 
68 7541.689 8782.142 3 11 22 50 
69 7552.693 8776.949 4 17 26 50 
70 7541.689 8782.142 5 14 21 47 
71 7537.922 8784.188 3 14 21 47 
72 7530.182 8792.605 4 13 29 58 
73 7507.143 8820.204 5 13 22 41 
74 7472.243 8861.924 3 8 21 40 
75 7470.068 8865.116 5 10 25 59 
76 7450.067 8894.427 5 19 29 44 
77 7437.41 8917.288 4 12 22 59 
78 7425.364 8942.318 5 8 24 45 
79 7404.359 8996.982 5 17 28 46 
80 7401.392 9005.077 5 13 23 40 
81 7386.132 9049.966 4 10 21 55 
82 7369.713 9098.158 3 14 22 53 
83 7365.577 9110.478 5 11 27 43 
84 7359.8 9127.725 5 18 20 49 
85 7353.962 9143.948 4 18 23 54 
86 7345.464 9167.555 5 12 23 57 
87 7324.402 9218.649 5 8 20 50 
88 7314.479 9250.072 5 18 24 41 
89 7308.69 9280.351 5 16 20 58 
90 7304.977 9310.329 4 15 21 53 
91 7305.312 9337.338 4 19 26 40 
92 7306.56 9380.927 5 11 28 52 
93 7307.818 9422.903 4 14 24 51 
94 7308.693 9452.992 5 19 26 40 
95 7310.374 9482.27 3 8 24 49 
96 7318.472 9523.078 4 9 21 47 
97 7321.084 9539.991 3 18 25 54 
98 7331.528 9561.385 5 11 21 42 
99 7321.084 9539.991 3 13 24 46 
100 7318.472 9523.078 5 16 21 46 
101 7310.374 9482.27 3 11 20 55 
102 7308.693 9452.992 4 10 21 44 
103 7307.818 9422.903 4 9 24 51 
104 7306.56 9380.927 3 17 24 46 
105 7305.312 9337.338 5 14 24 52 
106 7304.977 9310.329 3 15 21 50 
107 7308.69 9280.351 5 9 28 50 
108 7314.479 9250.072 5 18 27 51 
109 7324.402 9218.649 3 9 23 59 
110 7345.464 9167.555 4 15 25 53 
111 7353.962 9143.948 3 10 25 59 
112 7359.8 9127.725 3 18 20 48 
113 7365.577 9110.478 3 8 25 53 
114 7369.713 9098.158 5 8 25 54 
115 7386.132 9049.966 5 14 25 55 
116 7401.392 9005.077 4 10 28 54 
117 7404.359 8996.982 3 17 22 41 
118 7425.364 8942.318 4 10 23 48 
119 7425.364 8942.318 4 19 25 47 
