T X Y S0 S1 S2 S3 
1 5120.276 6865.241 3 9 28 50 
2 5101.487 6852.387 4 16 28 48 
3 5093.256 6847.25 3 15 22 52 
4 5042.709 6815.671 3 9 22 59 
5 5015.855 6798.903 3 14 24 48 
6 4994.159 6784.558 4 19 27 55 
7 4994.159 6784.558 3 15 28 46 
8 4994.159 6784.558 3 10 27 50 
9 4994.159 6784.558 5 15 21 48 
10 4994.159 6784.558 3 15 27 54 
11 4994.159 6784.558 5 18 23 47 
12 4896.603 6720.065 3 9 21 45 
13 4882.865 6710.925 4 18 28 52 
14 4872.314 6703.864 4 12 22 56 
15 4831.285 6676.366 3 19 26 56 
16 4707.232 6591.001 4 16 20 56 
17 4681.825 6568.507 5 15 28 41 
18 4655.736 6543.488 4 8 21 57 
19 4606.974 6494.896 4 11 23 48 
20 4569.592 6457.534 4 17 28 47 
21 4512.511 6400.269 5 16 23 58 
22 4433.893 6321.543 4 13 29 52 
23 4361.138 6249.044 3 18 21 54 
24 4308.782 6198.483 5 15 20 54 
25 4285.493 6175.989 5 18 25 46 
26 4272.097 6162.645 4 12 26 44 
27 4186.294 6077.248 5 15 27 42 
28 4099.763 5991.75 3 14 23 40 
29 4071.158 5963.495 3 19 29 45 
30 4039.286 5933.806 3 18 26 58 
31 4019.479 5916.26 5 12 24 56 
32 3990.075 5890.218 5 14 22 56 
33 4019.479 5916.26 5 16 25 40 
34 4039.286 5933.806 5 13 24 44 
35 4071.158 5963.495 5 14 22 53 
36 4099.763 5991.75 4 17 20 40 
37 4186.294 6077.248 5 9 22 53 
38 4272.097 6162.645 4 14 26 46 
39 4285.493 6175.989 5 8 21 51 
40 4308.782 6198.483 5 15 29 58 
41 4361.138 6249.044 3 19 22 50 
42 4433.893 6321.543 4 18 26 41 
43 4512.511 6400.269 3 19 28 53 
44 4569.592 6457.534 5 16 22 44 
45 4606.974 6494.896 3 14 24 42 
46 4655.736 6543.488 5 9 21 54 
47 4681.825 6568.507 4 15 25 49 
48 4707.232 6591.001 5 17 29 46 
49 4831.285 6676.366 4 14 25 45 
50 4872.314 6703.864 4 9 28 57 
51 4882.865 6710.925 5 10 25 53 
52 4896.603 6720.065 4 9 21 42 
53 4994.159 6784.558 3 14 23 54 
54 5015.855 6798.903 5 9 25 51 
55 5042.709 6815.671 3 19 25 59 
56 5093.256 6847.25 5 15 25 58 
57 5101.487 6852.387 4 19 26 55 
58 5120.276 6865.241 3 11 20 53 
59 5128.085 6870.59 5 13 24 41 
60 5120.276 6865.241 5 16 23 58 
61 5101.487 6852.387 4 17 27 42 
62 5093.256 6847.25 5 13 23 48 
63 5042.709 6815.671 4 9 20 54 
64 5015.855 6798.903 4 11 21 48 
65 4994.159 6784.558 3 13 25 49 
66 4896.603 6720.065 5 19 24 56 
67 4882.865 6710.925 3 8 25 44 
68 4872.314 6703.864 3 14 24 51 
69 4831.285 6676.366 4 13 25 58 
70 4707.232 6591.001 4 17 21 48 
71 4681.825 6568.507 5 11 27 42 
72 4655.736 6543.488 5 16 28 52 
73 4606.974 6494.896 5 19 26 43 
74 4569.592 6457.534 4 8 23 50 
75 4512.511 6400.269 4 14 24 40 
76 4433.893 6321.543 5 19 24 47 
77 4361.138 6249.044 5 9 29 49 
78 4308.782 6198.483 4 18 27 50 
79 4285.493 6175.989 5 19 21 45 
80 4272.097 6162.645 5 16 29 53 
81 4186.294 6077.248 3 13 20 55 
82 4099.763 5991.75 4 16 29 48 
83 4071.158 5963.495 3 9 25 47 
84 4039.286 5933.806 3 19 27 57 
85 4019.479 5916.26 3 14 27 52 
86 3990.075 5890.218 4 14 25 40 
87 4019.479 5916.26 5 18 23 42 
88 4039.286 5933.806 4 13 23 45 
89 4071.158 5963.495 5 10 22 49 
90 4099.763 5991.75 4 15 21 53 
91 4186.294 6077.248 4 9 25 56 
92 4272.097 6162.645 5 15 20 40 
93 4285.493 6175.989 3 11 21 48 
94 4308.782 6198.483 3 9 28 51 
95 4361.138 6249.044 5 12 26 55 
96 4433.893 6321.543 4 15 29 40 
97 4512.511 6400.269 5 16 23 47 
98 4569.592 6457.534 4 9 20 56 
99 4606.974 6494.896 5 19 21 50 
100 4655.736 6543.488 3 13 25 52 
101 4681.825 6568.507 5 12 29 49 
102 4707.232 6591.001 5 16 24 53 
103 4831.285 6676.366 3 9 24 59 
104 4872.314 6703.864 4 18 28 43 
105 4882.865 6710.925 5 10 25 50 
106 4896.603 6720.065 3 13 22 54 
107 4994.159 6784.558 4 18 23 41 
108 5015.855 6798.903 5 15 21 53 
109 5042.709 6815.671 3 11 22 45 
110 5093.256 6847.25 5 10 24 47 
111 5101.487 6852.387 5 19 22 54 
112 5120.276 6865.241 3 18 29 46 
113 5128.085 6870.59 5 8 23 59 
114 5120.276 6865.241 5 19 28 53 
115 5101.487 6852.387 5 13 21 49 
116 5093.256 6847.25 5 12 24 59 
117 5042.709 6815.671 3 13 26 40 
118 5015.855 6798.903 4 14 21 58 
119 5015.855 6798.903 5 12 26 58 
