T X Y S0 S1 S2 S3 
0 5128.085 6870.59 4 14 20 46 
1 5120.276 6865.241 4 13 21 48 
2 5101.487 6852.387 5 12 27 54 
3 5093.256 6847.25 3 15 25 53 
4 5042.709 6815.671 4 13 24 44 
5 5015.855 6798.903 5 14 24 42 
6 4994.159 6784.558 5 19 29 52 
7 4994.159 6784.558 4 17 23 44 
8 4994.159 6784.558 5 15 24 40 
9 4994.159 6784.558 4 16 23 54 
10 4994.159 6784.558 3 11 20 45 
11 4994.159 6784.558 5 11 28 45 
12 4994.159 6784.558 5 15 26 47 
13 4994.159 6784.558 4 14 27 57 
14 4994.159 6784.558 3 14 23 52 
15 4994.159 6784.558 4 16 27 54 
16 4994.159 6784.558 5 16 22 57 
17 4896.603 6720.065 4 19 28 52 
18 4882.865 6710.925 4 12 20 54 
19 4872.314 6703.864 3 13 25 49 
20 4831.285 6676.366 5 12 25 41 
21 4707.232 6591.001 3 19 28 41 
22 4681.825 6568.507 5 19 22 59 
23 4655.736 6543.488 3 16 29 46 
24 4606.974 6494.896 4 11 23 44 
25 4569.592 6457.534 5 15 29 45 
26 4512.511 6400.269 4 16 26 53 
27 4433.893 6321.543 3 12 23 44 
28 4361.138 6249.044 4 14 21 43 
29 4308.782 6198.483 5 11 28 55 
30 4285.493 6175.989 5 15 23 40 
31 4272.097 6162.645 5 17 29 58 
32 4186.294 6077.248 5 11 24 49 
33 4099.763 5991.75 5 11 25 41 
34 4071.158 5963.495 4 9 29 48 
35 4039.286 5933.806 3 11 26 42 
36 4019.479 5916.26 4 8 24 48 
37 3990.075 5890.218 5 15 28 40 
38 4019.479 5916.26 4 12 25 52 
39 4039.286 5933.806 4 18 26 44 
40 4071.158 5963.495 5 10 21 44 
41 4099.763 5991.75 4 16 20 41 
42 4186.294 6077.248 5 12 27 57 
43 4272.097 6162.645 3 16 29 53 
44 4285.493 6175.989 3 11 26 56 
45 4308.782 6198.483 3 10 23 45 
46 4361.138 6249.044 5 12 25 43 
47 4433.893 6321.543 4 18 20 46 
48 4512.511 6400.269 5 18 29 58 
49 4569.592 6457.534 5 15 27 40 
50 4606.974 6494.896 4 12 27 43 
51 4655.736 6543.488 4 19 29 47 
52 4681.825 6568.507 4 11 28 48 
53 4707.232 6591.001 3 10 21 53 
54 4831.285 6676.366 3 13 27 51 
55 4872.314 6703.864 5 15 24 49 
56 4882.865 6710.925 4 14 22 51 
57 4896.603 6720.065 4 8 29 49 
58 4994.159 6784.558 3 10 27 52 
59 5015.855 6798.903 3 8 25 53 
60 5042.709 6815.671 4 12 28 56 
61 5093.256 6847.25 3 14 20 53 
62 5101.487 6852.387 4 11 23 52 
63 5120.276 6865.241 5 19 23 51 
64 5128.085 6870.59 5 10 21 45 
65 5120.276 6865.241 3 18 24 46 
66 5101.487 6852.387 5 9 23 59 
67 5093.256 6847.25 4 14 25 49 
68 5042.709 6815.671 4 10 20 55 
69 5015.855 6798.903 3 9 28 51 
70 4994.159 6784.558 5 10 24 48 
71 4896.603 6720.065 5 12 21 40 
72 4882.865 6710.925 4 19 25 47 
73 4872.314 6703.864 3 16 23 43 
74 4831.285 6676.366 5 18 23 44 
75 4707.232 6591.001 4 12 28 40 
76 4681.825 6568.507 3 13 20 45 
77 4655.736 6543.488 5 15 28 44 
78 4606.974 6494.896 4 9 25 52 
79 4569.592 6457.534 5 10 22 45 
80 4512.511 6400.269 4 8 22 59 
81 4433.893 6321.543 3 9 26 53 
82 4361.138 6249.044 5 12 20 41 
83 4308.782 6198.483 4 16 25 57 
84 4285.493 6175.989 5 17 29 48 
85 4272.097 6162.645 3 10 24 48 
86 4186.294 6077.248 3 13 26 45 
87 4099.763 5991.75 4 16 25 47 
88 4071.158 5963.495 5 19 22 50 
89 4039.286 5933.806 3 12 21 53 
90 4019.479 5916.26 3 12 28 58 
91 3990.075 5890.218 5 16 22 42 
92 4019.479 5916.26 5 17 22 56 
93 4039.286 5933.806 3 12 23 56 
94 4071.158 5963.495 4 12 25 50 
95 4099.763 5991.75 4 15 22 47 
96 4186.294 6077.248 5 19 23 47 
97 4272.097 6162.645 5 19 28 49 
98 4285.493 6175.989 3 12 22 52 
99 4308.782 6198.483 5 16 22 41 
100 4361.138 6249.044 5 16 26 42 
101 4433.893 6321.543 5 19 21 47 
102 4512.511 6400.269 3 15 20 53 
103 4569.592 6457.534 3 15 28 44 
104 4606.974 6494.896 3 8 21 53 
105 4655.736 6543.488 4 16 25 57 
106 4681.825 6568.507 5 12 23 40 
107 4707.232 6591.001 3 14 22 54 
108 4831.285 6676.366 4 17 21 57 
109 4872.314 6703.864 3 17 22 51 
110 4882.865 6710.925 3 16 24 50 
111 4896.603 6720.065 3 9 28 48 
112 4994.159 6784.558 3 16 28 50 
113 5015.855 6798.903 4 19 29 52 
114 5042.709 6815.671 3 17 27 53 
115 5093.256 6847.25 4 8 24 47 
116 5101.487 6852.387 3 18 27 54 
117 5120.276 6865.241 4 12 27 52 
118 5128.085 6870.59 3 14 20 53 
119 5128.085 6870.59 3 17 29 40 
