T X Y S0 S1 S2 S3 
0 8818.892 8656.225 3 19 23 47 
1 8810.905 8664.309 5 18 28 47 
2 8805.119 8670.102 5 11 27 43 
3 8799.973 8675.929 4 8 24 42 
4 8781.454 8697.678 5 18 22 41 
5 8767.925 8713.579 3 8 29 41 
6 8764.698 8717.36 4 16 23 41 
7 8761.401 8721.24 4 18 21 46 
8 8756.833 8726.311 5 14 23 42 
9 8744.26 8740.288 3 8 24 48 
10 8722.158 8764.851 4 8 27 50 
11 8715.766 8771.956 3 12 22 56 
12 8710.374 8777.95 5 11 22 57 
13 8693.769 8796.375 3 19 27 58 
14 8665.985 8827.198 5 19 28 44 
15 8664.328 8829.022 5 8 26 40 
16 8659.436 8834.437 4 13 26 56 
17 8655.008 8839.318 4 17 23 59 
18 8631.591 8865.127 3 18 24 46 
19 8616.993 8881.161 5 15 22 44 
20 8587.536 8913.519 5 19 29 55 
21 8581.354 8921.169 3 8 25 48 
22 8575.411 8927.318 3 18 29 56 
23 8547.706 8959.142 3 8 21 57 
24 8546.233 8960.832 3 10 27 47 
25 8529.478 8980.08 3 13 26 48 
26 8526.243 8983.794 5 13 28 46 
27 8520.737 8990.099 4 13 26 53 
28 8460.944 9058.773 3 16 29 43 
29 8451.213 9069.948 3 11 23 47 
30 8460.944 9058.773 3 18 20 46 
31 8520.737 8990.099 3 16 20 53 
32 8526.243 8983.794 3 8 28 55 
33 8529.478 8980.08 3 11 27 48 
34 8546.233 8960.832 4 10 24 50 
35 8547.706 8959.142 3 15 22 53 
36 8575.411 8927.318 3 19 29 43 
37 8581.354 8921.169 5 16 28 42 
38 8587.536 8913.519 4 12 24 57 
39 8616.993 8881.161 4 8 24 46 
40 8631.591 8865.127 4 19 25 43 
41 8655.008 8839.318 3 19 21 56 
42 8659.436 8834.437 3 9 27 51 
43 8664.328 8829.022 4 19 25 51 
44 8665.985 8827.198 4 11 26 45 
45 8693.769 8796.375 3 10 29 45 
46 8710.374 8777.95 3 16 26 53 
47 8715.766 8771.956 3 15 25 43 
48 8722.158 8764.851 3 16 22 50 
49 8744.26 8740.288 5 11 23 56 
50 8756.833 8726.311 5 19 27 47 
51 8761.401 8721.24 3 12 28 42 
52 8764.698 8717.36 4 15 21 45 
53 8767.925 8713.579 3 17 21 50 
54 8781.454 8697.678 4 17 28 41 
55 8799.973 8675.929 4 13 28 51 
56 8805.119 8670.102 4 8 29 47 
57 8810.905 8664.309 4 9 21 49 
58 8818.892 8656.225 5 8 24 51 
59 8810.905 8664.309 4 14 24 49 
60 8805.119 8670.102 4 12 29 47 
61 8799.973 8675.929 3 12 20 51 
62 8781.454 8697.678 3 19 23 40 
63 8767.925 8713.579 3 10 21 42 
64 8764.698 8717.36 4 8 22 56 
65 8761.401 8721.24 3 11 28 58 
66 8756.833 8726.311 5 14 23 58 
67 8744.26 8740.288 5 11 27 47 
68 8722.158 8764.851 5 9 21 53 
69 8715.766 8771.956 4 15 22 43 
70 8710.374 8777.95 3 14 24 57 
71 8693.769 8796.375 5 15 24 50 
72 8665.985 8827.198 5 19 22 56 
73 8664.328 8829.022 3 18 20 40 
74 8659.436 8834.437 4 19 22 45 
75 8655.008 8839.318 5 11 22 55 
76 8631.591 8865.127 3 13 23 54 
77 8616.993 8881.161 5 11 27 56 
78 8587.536 8913.519 5 17 29 47 
79 8581.354 8921.169 4 19 28 59 
80 8575.411 8927.318 4 9 22 46 
81 8547.706 8959.142 5 17 21 51 
82 8546.233 8960.832 3 11 20 48 
83 8529.478 8980.08 3 14 24 51 
84 8526.243 8983.794 5 9 20 59 
85 8520.737 8990.099 3 8 21 59 
86 8460.944 9058.773 3 19 20 55 
87 8451.213 9069.948 4 18 26 40 
88 8460.944 9058.773 3 9 22 47 
89 8520.737 8990.099 5 10 24 53 
90 8526.243 8983.794 5 8 29 49 
91 8529.478 8980.08 3 15 27 45 
92 8546.233 8960.832 3 17 28 50 
93 8547.706 8959.142 4 16 20 49 
94 8575.411 8927.318 3 19 27 40 
95 8581.354 8921.169 3 17 26 43 
96 8587.536 8913.519 5 16 27 55 
97 8616.993 8881.161 3 14 21 54 
98 8631.591 8865.127 5 19 25 54 
99 8655.008 8839.318 5 15 25 41 
100 8659.436 8834.437 3 13 23 52 
101 8664.328 8829.022 5 19 24 51 
102 8665.985 8827.198 4 18 21 52 
103 8693.769 8796.375 3 19 22 42 
104 8710.374 8777.95 5 14 21 45 
105 8715.766 8771.956 5 8 29 57 
106 8722.158 8764.851 5 19 21 46 
107 8744.26 8740.288 3 16 22 40 
108 8756.833 8726.311 4 15 24 46 
109 8761.401 8721.24 3 8 21 57 
110 8764.698 8717.36 3 17 21 54 
111 8767.925 8713.579 3 10 20 57 
112 8781.454 8697.678 5 8 23 42 
113 8799.973 8675.929 4 14 29 55 
114 8805.119 8670.102 3 11 22 42 
115 8810.905 8664.309 5 10 26 47 
116 8818.892 8656.225 3 13 23 53 
117 8810.905 8664.309 5 9 27 43 
118 8805.119 8670.102 5 10 28 44 
119 8805.119 8670.102 4 16 29 42 
