T X Y S0 S1 S2 S3 
2 7541.689 8782.142 3 11 21 42 
3 7537.922 8784.188 4 17 21 49 
4 7530.182 8792.605 3 8 27 51 
5 7507.143 8820.204 3 10 26 45 
6 7472.243 8861.924 4 8 28 53 
7 7470.068 8865.116 5 18 23 44 
8 7450.067 8894.427 3 16 24 58 
9 7437.41 8917.288 4 12 27 42 
10 7425.364 8942.318 4 13 24 44 
11 7425.364 8942.318 4 17 21 48 
12 7425.364 8942.318 3 11 21 51 
13 7425.364 8942.318 5 11 29 46 
14 7425.364 8942.318 5 10 28 49 
15 7425.364 8942.318 3 17 25 50 
16 7425.364 8942.318 5 12 25 53 
17 7425.364 8942.318 4 13 26 47 
18 7425.364 8942.318 5 8 21 49 
19 7425.364 8942.318 5 11 20 59 
20 7425.364 8942.318 4 10 24 55 
21 7404.359 8996.982 5 14 26 45 
22 7401.392 9005.077 3 13 24 53 
23 7386.132 9049.966 4 10 25 50 
24 7369.713 9098.158 4 15 24 46 
25 7365.577 9110.478 4 9 29 41 
26 7359.8 9127.725 4 11 25 52 
27 7353.962 9143.948 4 17 20 56 
28 7345.464 9167.555 5 14 20 59 
29 7324.402 9218.649 4 18 29 49 
30 7314.479 9250.072 4 15 28 55 
31 7308.69 9280.351 4 13 28 46 
32 7304.977 9310.329 4 10 27 51 
33 7305.312 9337.338 5 13 28 54 
34 7306.56 9380.927 5 17 21 55 
35 7307.818 9422.903 3 8 23 52 
36 7308.693 9452.992 5 9 20 40 
37 7310.374 9482.27 4 19 20 46 
38 7318.472 9523.078 3 16 29 45 
39 7321.084 9539.991 5 17 20 55 
40 7331.528 9561.385 4 18 23 47 
41 7321.084 9539.991 3 18 22 47 
42 7318.472 9523.078 3 12 29 55 
43 7310.374 9482.27 5 11 27 56 
44 7308.693 9452.992 5 10 23 40 
45 7307.818 9422.903 4 16 23 57 
46 7306.56 9380.927 5 18 22 47 
47 7305.312 9337.338 3 11 22 40 
48 7304.977 9310.329 3 11 27 59 
49 7308.69 9280.351 4 11 23 53 
50 7314.479 9250.072 4 17 23 56 
51 7324.402 9218.649 3 18 26 47 
52 7345.464 9167.555 4 16 23 59 
53 7353.962 9143.948 3 8 25 59 
54 7359.8 9127.725 5 16 27 43 
55 7365.577 9110.478 4 17 26 50 
56 7369.713 9098.158 4 16 21 47 
57 7386.132 9049.966 3 10 25 54 
58 7401.392 9005.077 3 11 24 59 
59 7404.359 8996.982 3 10 27 42 
60 7425.364 8942.318 4 16 21 41 
61 7437.41 8917.288 3 17 26 46 
62 7450.067 8894.427 3 8 20 44 
63 7470.068 8865.116 4 17 25 53 
64 7472.243 8861.924 4 15 22 43 
65 7507.143 8820.204 3 12 20 59 
66 7530.182 8792.605 4 10 26 41 
67 7537.922 8784.188 4 18 24 48 
68 7541.689 8782.142 3 18 27 55 
69 7552.693 8776.949 5 15 24 59 
70 7541.689 8782.142 4 17 28 57 
71 7537.922 8784.188 4 15 20 58 
72 7530.182 8792.605 4 9 27 47 
73 7507.143 8820.204 4 11 26 51 
74 7472.243 8861.924 5 12 23 58 
75 7470.068 8865.116 4 13 29 54 
76 7450.067 8894.427 3 13 27 54 
77 7437.41 8917.288 5 17 20 46 
78 7425.364 8942.318 4 10 29 48 
79 7404.359 8996.982 5 11 26 48 
80 7401.392 9005.077 3 9 25 48 
81 7386.132 9049.966 3 16 25 44 
82 7369.713 9098.158 4 18 21 48 
83 7365.577 9110.478 4 8 21 58 
84 7359.8 9127.725 4 16 20 42 
85 7353.962 9143.948 3 10 23 51 
86 7345.464 9167.555 3 8 24 43 
87 7324.402 9218.649 3 16 23 42 
88 7314.479 9250.072 3 8 23 47 
89 7308.69 9280.351 3 14 26 46 
90 7304.977 9310.329 5 12 22 46 
91 7305.312 9337.338 3 13 27 44 
92 7306.56 9380.927 4 8 22 50 
93 7307.818 9422.903 3 11 23 48 
94 7308.693 9452.992 5 10 27 47 
95 7310.374 9482.27 5 12 25 57 
96 7318.472 9523.078 3 18 27 46 
97 7321.084 9539.991 3 11 28 51 
98 7331.528 9561.385 5 8 26 47 
99 7321.084 9539.991 5 8 29 49 
100 7318.472 9523.078 3 14 20 45 
101 7310.374 9482.27 5 17 20 57 
102 7308.693 9452.992 5 17 20 47 
103 7307.818 9422.903 5 13 29 58 
104 7306.56 9380.927 4 12 23 53 
105 7305.312 9337.338 4 17 22 40 
106 7304.977 9310.329 5 17 22 48 
107 7308.69 9280.351 5 17 25 54 
108 7314.479 9250.072 5 13 21 49 
109 7324.402 9218.649 3 12 20 56 
110 7345.464 9167.555 5 16 27 56 
111 7353.962 9143.948 4 9 29 55 
112 7359.8 9127.725 4 17 24 48 
113 7365.577 9110.478 3 11 20 40 
114 7369.713 9098.158 4 12 27 47 
115 7386.132 9049.966 3 14 28 55 
116 7401.392 9005.077 5 17 20 57 
117 7404.359 8996.982 4 16 22 47 
118 7425.364 8942.318 4 15 21 53 
119 7425.364 8942.318 4 18 24 41 
