T X Y S0 S1 S2 S3 
2 5120.276 6865.241 3 12 26 48 
3 5101.487 6852.387 5 16 25 52 
4 5093.256 6847.25 5 17 25 48 
5 5042.709 6815.671 5 14 28 58 
6 5015.855 6798.903 4 12 25 42 
7 4994.159 6784.558 4 11 21 44 
8 4994.159 6784.558 5 18 28 44 
9 4994.159 6784.558 3 11 20 56 
10 4994.159 6784.558 4 13 25 49 
11 4994.159 6784.558 4 14 26 47 
12 4994.159 6784.558 5 17 22 55 
13 4896.603 6720.065 4 11 21 56 
14 4882.865 6710.925 5 17 24 56 
15 4872.314 6703.864 4 16 24 50 
16 4831.285 6676.366 4 13 20 59 
17 4707.232 6591.001 3 15 27 48 
18 4681.825 6568.507 5 15 29 43 
19 4655.736 6543.488 4 14 26 52 
20 4606.974 6494.896 3 10 28 43 
21 4569.592 6457.534 4 12 20 49 
22 4512.511 6400.269 5 19 21 53 
23 4433.893 6321.543 5 14 24 52 
24 4361.138 6249.044 5 8 25 59 
25 4308.782 6198.483 3 18 26 43 
26 4285.493 6175.989 3 11 29 48 
27 4272.097 6162.645 5 18 27 51 
28 4186.294 6077.248 4 12 29 47 
29 4099.763 5991.75 4 12 27 43 
30 4071.158 5963.495 5 18 21 47 
31 4039.286 5933.806 5 15 24 50 
32 4019.479 5916.26 3 10 23 46 
33 3990.075 5890.218 3 15 22 48 
34 4019.479 5916.26 5 13 24 56 
35 4039.286 5933.806 3 13 20 51 
36 4071.158 5963.495 5 13 26 49 
37 4099.763 5991.75 4 14 27 54 
38 4186.294 6077.248 3 14 29 55 
39 4272.097 6162.645 4 10 27 57 
40 4285.493 6175.989 4 11 23 56 
41 4308.782 6198.483 4 8 29 59 
42 4361.138 6249.044 5 18 21 49 
43 4433.893 6321.543 5 14 22 42 
44 4512.511 6400.269 5 19 21 55 
45 4569.592 6457.534 5 10 22 55 
46 4606.974 6494.896 4 14 22 54 
47 4655.736 6543.488 5 16 20 55 
48 4681.825 6568.507 4 9 24 45 
49 4707.232 6591.001 3 12 23 57 
50 4831.285 6676.366 5 10 26 54 
51 4872.314 6703.864 3 18 22 54 
52 4882.865 6710.925 5 10 26 58 
53 4896.603 6720.065 4 11 25 41 
54 4994.159 6784.558 4 10 27 56 
55 5015.855 6798.903 4 8 21 57 
56 5042.709 6815.671 5 10 26 53 
57 5093.256 6847.25 4 17 29 55 
58 5101.487 6852.387 5 18 29 40 
59 5120.276 6865.241 3 17 24 46 
60 5128.085 6870.59 4 16 26 46 
61 5120.276 6865.241 5 19 22 56 
62 5101.487 6852.387 3 8 21 54 
63 5093.256 6847.25 4 16 27 49 
64 5042.709 6815.671 5 13 20 47 
65 5015.855 6798.903 3 17 28 46 
66 4994.159 6784.558 4 18 23 48 
67 4896.603 6720.065 4 18 21 43 
68 4882.865 6710.925 4 19 20 44 
69 4872.314 6703.864 5 14 21 49 
70 4831.285 6676.366 3 18 22 48 
71 4707.232 6591.001 5 13 21 43 
72 4681.825 6568.507 4 12 21 53 
73 4655.736 6543.488 5 9 22 46 
74 4606.974 6494.896 3 11 27 42 
75 4569.592 6457.534 4 9 27 42 
76 4512.511 6400.269 5 8 29 41 
77 4433.893 6321.543 3 9 25 50 
78 4361.138 6249.044 3 16 25 51 
79 4308.782 6198.483 5 16 27 57 
80 4285.493 6175.989 4 15 21 56 
81 4272.097 6162.645 4 11 20 59 
82 4186.294 6077.248 5 10 28 49 
83 4099.763 5991.75 4 18 26 40 
84 4071.158 5963.495 3 10 27 45 
85 4039.286 5933.806 5 13 27 58 
86 4019.479 5916.26 4 17 20 41 
87 3990.075 5890.218 5 14 24 45 
88 4019.479 5916.26 4 16 26 43 
89 4039.286 5933.806 5 18 27 59 
90 4071.158 5963.495 3 8 25 43 
91 4099.763 5991.75 3 9 24 51 
92 4186.294 6077.248 4 14 26 47 
93 4272.097 6162.645 3 19 22 44 
94 4285.493 6175.989 3 9 26 53 
95 4308.782 6198.483 4 12 27 55 
96 4361.138 6249.044 5 8 24 45 
97 4433.893 6321.543 4 18 26 48 
98 4512.511 6400.269 4 17 21 58 
99 4569.592 6457.534 3 19 24 59 
100 4606.974 6494.896 3 15 20 52 
101 4655.736 6543.488 3 9 27 48 
102 4681.825 6568.507 5 9 29 41 
103 4707.232 6591.001 5 9 20 40 
104 4831.285 6676.366 5 15 27 57 
105 4872.314 6703.864 3 19 25 59 
106 4882.865 6710.925 5 15 27 41 
107 4896.603 6720.065 4 16 27 40 
108 4994.159 6784.558 4 13 28 56 
109 5015.855 6798.903 5 17 21 46 
110 5042.709 6815.671 3 13 26 53 
111 5093.256 6847.25 4 9 23 46 
112 5101.487 6852.387 3 13 21 54 
113 5120.276 6865.241 3 10 21 44 
114 5128.085 6870.59 3 16 26 45 
115 5120.276 6865.241 4 10 28 46 
116 5101.487 6852.387 5 12 24 59 
117 5093.256 6847.25 4 18 24 47 
118 5042.709 6815.671 5 18 29 44 
119 5042.709 6815.671 5 16 22 51 
