T X Y S0 S1 S2 S3 
0 8866.261 7882.386 3 12 23 50 
1 8862.373 7890.381 4 19 28 45 
2 8861.609 7891.949 4 11 27 54 
3 8822.168 7992.102 3 9 24 52 
4 8818.385 8000.664 3 12 21 40 
5 8815.758 8008.036 5 19 23 56 
6 8803.29 8045.731 4 19 22 56 
7 8775.325 8144.539 4 9 21 51 
8 8773.048 8152.034 5 12 23 50 
9 8768.477 8167.879 5 8 21 43 
10 8757.77 8204.951 4 13 26 47 
11 8747.978 8238.866 5 14 27 41 
12 8734.142 8286.791 3 9 26 50 
13 8732.788 8291.472 4 12 22 51 
14 8731.61 8295.786 5 8 28 44 
15 8719.697 8339.453 4 11 26 54 
16 8715.556 8354.631 5 16 22 44 
17 8714.44 8358.512 3 17 20 47 
18 8708.612 8378.76 3 17 22 50 
19 8703.688 8396.774 4 9 28 45 
20 8701.842 8403.368 3 12 22 47 
21 8701.394 8405.002 3 17 24 56 
22 8695.635 8426.229 4 17 25 48 
23 8691.591 8441.007 4 10 21 53 
24 8687.731 8455.129 4 11 26 45 
25 8682.14 8475.566 3 12 29 53 
26 8677.744 8491.667 3 12 24 59 
27 8675.379 8500.296 5 9 22 53 
28 8672.658 8506.412 5 15 26 59 
29 8666.964 8515.519 4 12 21 42 
30 8663.008 8521.868 3 11 27 57 
31 8666.964 8515.519 5 16 23 40 
32 8672.658 8506.412 4 10 24 42 
33 8675.379 8500.296 4 15 26 57 
34 8677.744 8491.667 4 16 24 43 
35 8682.14 8475.566 5 11 24 58 
36 8687.731 8455.129 5 11 24 51 
37 8691.591 8441.007 5 17 21 40 
38 8695.635 8426.229 3 12 27 44 
39 8701.394 8405.002 4 13 27 43 
40 8701.842 8403.368 3 15 26 59 
41 8703.688 8396.774 5 17 24 51 
42 8708.612 8378.76 4 13 26 50 
43 8714.44 8358.512 4 16 24 55 
44 8715.556 8354.631 4 16 22 56 
45 8719.697 8339.453 5 17 29 52 
46 8731.61 8295.786 4 8 28 40 
47 8732.788 8291.472 5 12 27 53 
48 8734.142 8286.791 4 18 23 42 
49 8747.978 8238.866 5 18 25 57 
50 8757.77 8204.951 3 11 26 49 
51 8768.477 8167.879 4 11 28 42 
52 8773.048 8152.034 4 12 25 52 
53 8775.325 8144.539 5 15 25 41 
54 8803.29 8045.731 5 12 20 40 
55 8815.758 8008.036 4 15 24 42 
56 8818.385 8000.664 4 12 24 49 
57 8822.168 7992.102 4 17 23 59 
58 8861.609 7891.949 3 17 21 41 
59 8862.373 7890.381 3 8 28 49 
60 8866.261 7882.386 5 16 27 48 
61 8862.373 7890.381 5 18 27 47 
62 8861.609 7891.949 3 8 20 54 
63 8822.168 7992.102 5 10 24 48 
64 8818.385 8000.664 4 19 21 42 
65 8815.758 8008.036 3 13 29 47 
66 8803.29 8045.731 4 15 22 58 
67 8775.325 8144.539 5 18 28 53 
68 8773.048 8152.034 3 8 22 54 
69 8768.477 8167.879 3 9 27 45 
70 8757.77 8204.951 3 8 26 40 
71 8747.978 8238.866 5 17 24 52 
72 8734.142 8286.791 5 16 28 43 
73 8732.788 8291.472 3 10 26 52 
74 8731.61 8295.786 3 14 27 54 
75 8719.697 8339.453 3 17 20 42 
76 8715.556 8354.631 5 13 21 43 
77 8714.44 8358.512 5 18 20 51 
78 8708.612 8378.76 3 11 21 51 
79 8703.688 8396.774 5 11 26 56 
80 8701.842 8403.368 4 12 22 46 
81 8701.394 8405.002 5 11 23 52 
82 8695.635 8426.229 3 9 22 44 
83 8691.591 8441.007 4 8 28 56 
84 8687.731 8455.129 4 9 22 40 
85 8682.14 8475.566 3 11 26 52 
86 8677.744 8491.667 5 12 25 54 
87 8675.379 8500.296 3 17 25 44 
88 8672.658 8506.412 5 19 20 49 
89 8666.964 8515.519 5 8 28 49 
90 8663.008 8521.868 3 10 26 57 
91 8666.964 8515.519 5 14 21 45 
92 8672.658 8506.412 5 8 28 51 
93 8675.379 8500.296 4 15 21 58 
94 8677.744 8491.667 3 14 28 47 
95 8682.14 8475.566 3 15 24 47 
96 8687.731 8455.129 3 17 27 45 
97 8691.591 8441.007 4 8 29 52 
98 8695.635 8426.229 4 16 22 57 
99 8701.394 8405.002 4 15 22 44 
100 8701.842 8403.368 4 18 28 49 
101 8703.688 8396.774 5 8 24 56 
102 8708.612 8378.76 4 8 20 49 
103 8714.44 8358.512 4 15 27 40 
104 8715.556 8354.631 3 13 24 54 
105 8719.697 8339.453 5 10 27 44 
106 8731.61 8295.786 5 12 25 49 
107 8732.788 8291.472 3 16 27 59 
108 8734.142 8286.791 4 8 20 59 
109 8747.978 8238.866 5 11 29 50 
110 8757.77 8204.951 5 10 23 59 
111 8768.477 8167.879 3 19 26 59 
112 8773.048 8152.034 4 9 23 58 
113 8775.325 8144.539 5 17 27 56 
114 8803.29 8045.731 4 13 20 46 
115 8815.758 8008.036 4 19 20 51 
116 8818.385 8000.664 5 16 29 55 
117 8822.168 7992.102 5 10 25 42 
118 8861.609 7891.949 3 10 24 41 
119 8861.609 7891.949 3 18 26 58 
