T X Y S0 S1 S2 S3 
0 9657.375 7703.351 3 10 21 55 
1 9670.254 7692.232 4 17 28 49 
2 9689.413 7672.895 4 8 26 44 
3 9721.494 7636.779 4 14 24 57 
4 9726.791 7631.097 4 17 28 41 
5 9732.185 7624.658 4 17 21 59 
6 9792.814 7555.139 3 10 29 55 
7 9833.51 7508.437 5 13 27 52 
8 9844.209 7496.428 5 16 26 59 
9 9896.744 7437.829 4 9 23 52 
10 9933.317 7396.242 3 19 27 46 
11 9960.506 7365.997 4 17 21 42 
12 10012.254 7306.73 4 13 26 50 
13 10032.339 7284.491 4 14 22 46 
14 10103.996 7204.875 3 10 29 51 
15 10166.272 7133.043 4 12 25 42 
16 10275.643 7015.177 4 13 21 48 
17 10385.001 6896.443 4 13 27 55 
18 10421.209 6857.135 4 10 20 57 
19 10426.875 6850.986 5 19 20 52 
20 10429.656 6847.973 3 15 22 42 
21 10437.357 6839.611 5 17 28 50 
22 10442.129 6834.429 5 9 24 44 
23 10559.219 6707.5 3 10 29 59 
24 10815.885 6429.179 4 10 21 47 
25 10909.573 6327.325 3 11 20 46 
26 10932.908 6302.417 5 11 28 57 
27 11008.44 6219.799 4 16 28 52 
28 11031.161 6195.448 4 15 23 57 
29 11253.293 5954.044 3 16 27 52 
30 11260.96 5946.16 5 14 27 45 
31 11270.997 5935.552 3 12 20 58 
32 11326.111 5875.762 5 18 20 44 
33 11363.747 5836.066 3 13 22 43 
34 11368.134 5831.396 5 16 28 46 
35 11395.947 5800.728 4 8 25 42 
36 11475.526 5712.973 4 11 23 49 
37 11505.271 5679.17 4 9 29 53 
38 11660.137 5507.818 3 12 20 58 
39 11678.564 5487.136 3 13 25 59 
40 11701.908 5458.003 4 10 24 50 
41 11729.988 5426.09 5 17 24 47 
42 11701.908 5458.003 5 18 26 55 
43 11678.564 5487.136 4 11 22 46 
44 11660.137 5507.818 5 12 29 41 
45 11505.271 5679.17 3 9 25 45 
46 11475.526 5712.973 4 16 21 55 
47 11395.947 5800.728 3 19 22 53 
48 11368.134 5831.396 4 10 20 59 
49 11363.747 5836.066 3 10 20 54 
50 11326.111 5875.762 4 9 24 48 
51 11270.997 5935.552 4 9 24 46 
52 11260.96 5946.16 5 17 26 59 
53 11253.293 5954.044 4 19 29 48 
54 11031.161 6195.448 3 16 26 52 
55 11008.44 6219.799 3 8 22 43 
56 10932.908 6302.417 3 10 26 40 
57 10909.573 6327.325 4 17 26 41 
58 10815.885 6429.179 5 13 21 44 
59 10559.219 6707.5 5 9 25 42 
60 10442.129 6834.429 5 14 28 55 
61 10437.357 6839.611 3 11 25 54 
62 10429.656 6847.973 3 9 20 40 
63 10426.875 6850.986 3 18 21 45 
64 10421.209 6857.135 5 12 27 42 
65 10385.001 6896.443 4 11 28 40 
66 10275.643 7015.177 5 8 24 58 
67 10166.272 7133.043 4 12 25 54 
68 10103.996 7204.875 5 13 25 58 
69 10032.339 7284.491 4 8 28 54 
70 10012.254 7306.73 3 11 29 46 
71 9960.506 7365.997 3 19 22 51 
72 9933.317 7396.242 3 11 27 52 
73 9896.744 7437.829 3 11 26 55 
74 9844.209 7496.428 4 19 22 58 
75 9833.51 7508.437 4 11 20 58 
76 9792.814 7555.139 4 8 24 45 
77 9732.185 7624.658 3 17 29 58 
78 9726.791 7631.097 5 10 25 45 
79 9721.494 7636.779 4 8 28 46 
80 9689.413 7672.895 3 16 27 57 
81 9670.254 7692.232 5 10 27 43 
82 9657.375 7703.351 3 15 27 42 
83 9670.254 7692.232 5 9 20 53 
84 9689.413 7672.895 3 19 27 43 
85 9721.494 7636.779 4 15 29 51 
86 9726.791 7631.097 4 13 23 42 
87 9732.185 7624.658 3 17 24 49 
88 9792.814 7555.139 4 9 27 46 
89 9833.51 7508.437 5 12 27 53 
90 9844.209 7496.428 3 19 20 41 
91 9896.744 7437.829 4 10 26 46 
92 9933.317 7396.242 5 8 22 55 
93 9960.506 7365.997 5 9 26 44 
94 10012.254 7306.73 4 17 23 54 
95 10032.339 7284.491 4 17 22 55 
96 10103.996 7204.875 5 14 20 42 
97 10166.272 7133.043 3 11 21 54 
98 10275.643 7015.177 4 18 21 59 
99 10385.001 6896.443 3 18 22 41 
100 10421.209 6857.135 3 13 25 54 
101 10426.875 6850.986 4 9 28 41 
102 10429.656 6847.973 3 9 26 45 
103 10437.357 6839.611 5 16 21 54 
104 10442.129 6834.429 3 13 20 54 
105 10559.219 6707.5 5 18 21 42 
106 10815.885 6429.179 3 13 26 44 
107 10909.573 6327.325 5 15 22 44 
108 10932.908 6302.417 4 15 27 46 
109 11008.44 6219.799 5 11 22 51 
110 11031.161 6195.448 5 17 29 48 
111 11253.293 5954.044 5 14 27 56 
112 11260.96 5946.16 5 11 25 49 
113 11270.997 5935.552 3 10 20 41 
114 11326.111 5875.762 5 9 21 59 
115 11363.747 5836.066 5 12 25 59 
116 11368.134 5831.396 3 9 29 59 
117 11395.947 5800.728 3 12 26 42 
118 11475.526 5712.973 3 15 29 59 
119 11475.526 5712.973 5 18 21 51 
