T X Y S0 S1 S2 S3 
1 11668.623 5516.047 4 12 20 58 
2 11496.559 5706.968 4 11 26 41 
3 11484.713 5720.645 4 12 22 42 
4 11404.888 5808.856 4 14 24 59 
5 11399.694 5814.605 3 17 27 59 
6 11399.694 5814.605 3 9 21 50 
7 11399.694 5814.605 4 9 20 55 
8 11399.694 5814.605 3 9 23 54 
9 11399.694 5814.605 4 8 24 46 
10 11399.694 5814.605 4 13 22 47 
11 11371.706 5845.406 3 10 26 41 
12 11345.482 5873.561 3 14 28 55 
13 11339.596 5879.877 4 13 26 52 
14 11280.723 5945.982 4 12 22 50 
15 11271.792 5956.123 4 11 21 56 
16 11224.658 6010.086 5 10 20 45 
17 11044.111 6206.456 5 18 20 50 
18 10944.893 6313.982 3 18 26 41 
19 10870.766 6394.264 5 14 22 46 
20 10826.993 6441.633 5 13 25 55 
21 10572.518 6718.953 3 9 26 47 
22 10504.617 6792.854 3 17 25 50 
23 10499.363 6798.569 3 18 27 59 
24 10489.013 6809.911 5 18 21 59 
25 10455.672 6847.117 4 19 20 43 
26 10450.68 6852.688 5 15 27 40 
27 10448.812 6854.734 4 18 25 46 
28 10440.944 6863.362 3 10 24 53 
29 10435.392 6869.356 3 18 21 46 
30 10288.766 7027.742 3 13 29 44 
31 10187.638 7137.825 3 13 28 56 
32 10117.119 7216.773 4 17 24 42 
33 10046.074 7297.167 4 11 22 46 
34 10034.497 7309.843 4 9 29 56 
35 10024.937 7320.296 3 19 21 46 
36 9974.33 7377.672 3 11 21 42 
37 9943.018 7413.477 3 15 26 42 
38 9910.654 7450.394 3 15 22 50 
39 9858.383 7509.105 3 19 29 43 
40 9839.527 7530.12 4 9 22 46 
41 9806.639 7566.815 4 10 29 48 
42 9745.515 7631.864 5 12 20 47 
43 9743.533 7633.976 5 17 29 50 
44 9742.007 7635.611 5 17 26 50 
45 9738.57 7639.236 5 8 24 40 
46 9733.386 7645.229 4 13 29 54 
47 9731.949 7646.119 5 12 27 43 
48 9721.487 7656.994 5 14 29 40 
49 9716.157 7661.864 3 13 25 40 
50 9709.344 7668.091 4 19 25 42 
51 9704.215 7672.784 4 14 23 45 
52 9661.619 7713.158 5 14 22 55 
53 9704.215 7672.784 3 11 28 43 
54 9709.344 7668.091 4 16 25 47 
55 9716.157 7661.864 4 10 21 47 
56 9721.487 7656.994 5 12 21 56 
57 9731.949 7646.119 4 11 25 41 
58 9733.386 7645.229 5 14 28 44 
59 9738.57 7639.236 4 8 28 57 
60 9742.007 7635.611 5 19 26 49 
61 9743.533 7633.976 4 11 23 40 
62 9745.515 7631.864 3 11 25 57 
63 9806.639 7566.815 4 17 28 50 
64 9839.527 7530.12 5 16 28 46 
65 9858.383 7509.105 5 14 22 48 
66 9910.654 7450.394 3 15 24 55 
67 9943.018 7413.477 5 11 24 42 
68 9974.33 7377.672 3 8 28 43 
69 10024.937 7320.296 4 14 28 51 
70 10034.497 7309.843 5 16 23 51 
71 10046.074 7297.167 3 11 21 52 
72 10117.119 7216.773 3 15 22 45 
73 10187.638 7137.825 4 11 26 52 
74 10288.766 7027.742 4 9 21 58 
75 10435.392 6869.356 3 8 22 58 
76 10440.944 6863.362 3 9 27 47 
77 10448.812 6854.734 4 15 27 57 
78 10450.68 6852.688 4 10 23 48 
79 10455.672 6847.117 4 17 26 48 
80 10489.013 6809.911 3 9 28 43 
81 10499.363 6798.569 4 14 20 48 
82 10504.617 6792.854 5 11 25 46 
83 10572.518 6718.953 3 9 20 41 
84 10826.993 6441.633 5 16 29 41 
85 10870.766 6394.264 4 19 25 54 
86 10944.893 6313.982 4 11 27 57 
87 11044.111 6206.456 3 11 27 43 
88 11224.658 6010.086 4 18 29 42 
89 11271.792 5956.123 4 9 20 44 
90 11280.723 5945.982 3 14 28 45 
91 11339.596 5879.877 5 15 26 52 
92 11345.482 5873.561 4 9 20 55 
93 11371.706 5845.406 4 10 22 44 
94 11399.694 5814.605 3 11 26 56 
95 11404.888 5808.856 4 18 23 59 
96 11484.713 5720.645 3 11 26 41 
97 11496.559 5706.968 5 9 23 58 
98 11668.623 5516.047 5 9 23 56 
99 11766.17 5407.654 3 16 25 44 
100 11668.623 5516.047 4 17 26 57 
101 11496.559 5706.968 4 18 29 49 
102 11484.713 5720.645 3 9 24 49 
103 11404.888 5808.856 5 16 22 51 
104 11399.694 5814.605 5 15 27 41 
105 11371.706 5845.406 3 9 29 51 
106 11345.482 5873.561 5 12 28 54 
107 11339.596 5879.877 5 17 24 57 
108 11280.723 5945.982 3 14 23 46 
109 11271.792 5956.123 4 16 27 48 
110 11224.658 6010.086 3 11 29 45 
111 11044.111 6206.456 5 10 26 43 
112 10944.893 6313.982 4 13 26 45 
113 10870.766 6394.264 3 18 26 44 
114 10826.993 6441.633 4 9 26 44 
115 10572.518 6718.953 3 16 22 53 
116 10504.617 6792.854 3 9 24 43 
117 10499.363 6798.569 5 19 26 40 
118 10489.013 6809.911 5 17 21 48 
119 10489.013 6809.911 4 12 21 52 
