T X Y S0 S1 S2 S3 
2 7696.358 9938.058 4 12 22 40 
3 7698.746 9940.182 3 12 21 43 
4 7707.722 9948.388 5 13 25 47 
5 7721.455 9962.509 5 11 21 49 
6 7748.653 9997.091 5 19 20 51 
7 7794.385 10060.027 3 12 26 56 
8 7821.845 10093.942 5 18 25 45 
9 7849.749 10121.407 3 15 20 53 
10 7903.811 10170.666 3 16 26 55 
11 7968.634 10227.042 4 12 23 53 
12 7975.038 10232.691 4 10 29 51 
13 7977.207 10234.603 4 17 21 55 
14 7991.992 10247.391 3 19 21 43 
15 7998.375 10256.064 4 11 20 40 
16 8003.971 10263.514 5 18 23 53 
17 8013.764 10276.858 5 9 26 48 
18 8025.913 10297.762 5 13 27 57 
19 8027.137 10299.764 4 13 24 44 
20 8033.863 10315.553 5 14 29 59 
21 8041.191 10333.211 5 9 22 51 
22 8047.31 10351.803 3 15 26 49 
23 8062.057 10401.952 5 9 25 42 
24 8064.85 10410.736 3 13 29 50 
25 8079.077 10455.548 5 16 26 58 
26 8106.376 10561.072 4 11 24 41 
27 8112.223 10588.526 3 16 28 51 
28 8114.306 10598.322 5 18 28 41 
29 8112.223 10588.526 5 14 24 57 
30 8106.376 10561.072 4 11 28 47 
31 8079.077 10455.548 5 13 21 52 
32 8064.85 10410.736 3 18 27 59 
33 8062.057 10401.952 4 18 24 43 
34 8047.31 10351.803 4 14 22 58 
35 8041.191 10333.211 4 14 22 54 
36 8033.863 10315.553 5 10 25 51 
37 8027.137 10299.764 4 19 26 50 
38 8025.913 10297.762 3 9 22 45 
39 8013.764 10276.858 4 13 26 43 
40 8003.971 10263.514 4 10 27 46 
41 7998.375 10256.064 5 13 25 44 
42 7991.992 10247.391 3 10 22 53 
43 7977.207 10234.603 5 19 28 56 
44 7975.038 10232.691 5 18 28 54 
45 7968.634 10227.042 4 11 29 50 
46 7903.811 10170.666 4 9 21 57 
47 7849.749 10121.407 3 13 23 48 
48 7821.845 10093.942 3 15 23 56 
49 7794.385 10060.027 3 8 29 46 
50 7748.653 9997.091 4 17 20 55 
51 7721.455 9962.509 3 13 28 51 
52 7707.722 9948.388 3 14 29 52 
53 7698.746 9940.182 4 11 29 45 
54 7696.358 9938.058 5 8 24 47 
55 7690.356 9933.076 5 15 20 52 
56 7696.358 9938.058 4 19 25 47 
57 7698.746 9940.182 5 14 20 53 
58 7707.722 9948.388 4 11 21 51 
59 7721.455 9962.509 5 10 21 40 
60 7748.653 9997.091 4 12 29 41 
61 7794.385 10060.027 5 16 20 59 
62 7821.845 10093.942 5 10 24 58 
63 7849.749 10121.407 5 8 21 40 
64 7903.811 10170.666 3 17 29 56 
65 7968.634 10227.042 4 17 20 41 
66 7975.038 10232.691 5 19 28 59 
67 7977.207 10234.603 3 9 28 57 
68 7991.992 10247.391 5 11 20 56 
69 7998.375 10256.064 3 19 21 48 
70 8003.971 10263.514 4 9 22 45 
71 8013.764 10276.858 4 17 27 55 
72 8025.913 10297.762 3 16 22 41 
73 8027.137 10299.764 3 18 22 59 
74 8033.863 10315.553 4 16 27 50 
75 8041.191 10333.211 4 16 23 48 
76 8047.31 10351.803 5 12 24 48 
77 8062.057 10401.952 3 9 26 50 
78 8064.85 10410.736 5 16 24 58 
79 8079.077 10455.548 5 9 26 41 
80 8106.376 10561.072 3 12 26 59 
81 8112.223 10588.526 3 13 21 52 
82 8114.306 10598.322 5 12 22 58 
83 8112.223 10588.526 5 14 21 42 
84 8106.376 10561.072 5 15 23 44 
85 8079.077 10455.548 4 18 24 59 
86 8064.85 10410.736 4 16 28 56 
87 8062.057 10401.952 4 8 26 45 
88 8047.31 10351.803 3 9 22 59 
89 8041.191 10333.211 4 11 20 41 
90 8033.863 10315.553 4 13 24 49 
91 8027.137 10299.764 5 18 24 57 
92 8025.913 10297.762 4 14 28 44 
93 8013.764 10276.858 4 16 21 45 
94 8003.971 10263.514 3 16 22 53 
95 7998.375 10256.064 3 19 29 48 
96 7991.992 10247.391 3 11 23 46 
97 7977.207 10234.603 3 11 29 58 
98 7975.038 10232.691 3 14 25 47 
99 7968.634 10227.042 3 11 24 56 
100 7903.811 10170.666 5 19 24 43 
101 7849.749 10121.407 3 15 28 42 
102 7821.845 10093.942 3 13 28 57 
103 7794.385 10060.027 5 14 23 55 
104 7748.653 9997.091 3 14 21 43 
105 7721.455 9962.509 3 14 23 46 
106 7707.722 9948.388 3 9 21 49 
107 7698.746 9940.182 4 9 27 57 
108 7696.358 9938.058 5 19 28 48 
109 7690.356 9933.076 3 8 26 59 
110 7696.358 9938.058 4 15 28 40 
111 7698.746 9940.182 4 18 25 54 
112 7707.722 9948.388 3 12 24 52 
113 7721.455 9962.509 3 18 24 41 
114 7748.653 9997.091 4 14 28 55 
115 7794.385 10060.027 3 8 28 58 
116 7821.845 10093.942 3 19 27 48 
117 7849.749 10121.407 4 9 27 57 
118 7903.811 10170.666 5 13 25 49 
119 7903.811 10170.666 4 16 26 45 
