T X Y S0 S1 S2 S3 
0 7552.693 8776.949 5 16 25 58 
1 7549.8 8789.725 3 19 21 54 
2 7548.929 8794.574 3 13 26 48 
3 7523.277 8826.042 3 18 20 45 
4 7510.461 8839.952 5 19 21 51 
5 7486.439 8870.308 5 15 27 48 
6 7473.568 8887.054 3 16 28 41 
7 7460.959 8905.88 4 12 29 52 
8 7451.6 8922.036 4 9 24 51 
9 7443.266 8938.615 4 8 25 48 
10 7430.902 8966.314 5 15 25 48 
11 7418.389 9004.354 4 13 28 53 
12 7415.58 9012.071 3 8 22 48 
13 7401.726 9050.945 3 11 22 52 
14 7383.84 9094.978 5 9 21 47 
15 7376.949 9114.326 5 17 29 45 
16 7371.495 9131.672 3 9 22 53 
17 7358.133 9169.879 4 18 20 53 
18 7338.251 9223.408 4 17 26 55 
19 7329.869 9245.291 5 12 20 50 
20 7322.605 9270.143 3 9 25 52 
21 7318.54 9300.766 5 19 20 41 
22 7317.556 9324.228 5 16 23 44 
23 7317.062 9357.476 5 19 21 48 
24 7317.622 9386.987 3 8 20 49 
25 7318.999 9414.029 3 14 26 53 
26 7320.09 9447.555 5 15 21 57 
27 7321.449 9464.934 4 19 21 58 
28 7323.632 9481.08 3 17 24 48 
29 7327.379 9501.829 3 8 22 51 
30 7331.949 9521.766 5 11 27 47 
31 7335.882 9539.546 3 13 25 40 
32 7341.696 9558.561 4 13 26 51 
33 7351.082 9579.109 5 16 24 42 
34 7366.443 9604.718 4 17 28 49 
35 7400.951 9643.68 4 15 21 47 
36 7366.443 9604.718 5 10 24 49 
37 7351.082 9579.109 3 19 24 52 
38 7341.696 9558.561 4 19 26 51 
39 7335.882 9539.546 3 8 22 47 
40 7331.949 9521.766 3 9 22 52 
41 7327.379 9501.829 4 15 23 54 
42 7323.632 9481.08 4 17 27 54 
43 7321.449 9464.934 3 9 24 44 
44 7320.09 9447.555 3 16 29 54 
45 7318.999 9414.029 4 14 23 40 
46 7317.622 9386.987 5 18 20 54 
47 7317.062 9357.476 3 12 20 49 
48 7317.556 9324.228 5 13 24 49 
49 7318.54 9300.766 3 14 29 57 
50 7322.605 9270.143 4 17 21 56 
51 7329.869 9245.291 3 11 20 51 
52 7338.251 9223.408 4 8 20 45 
53 7358.133 9169.879 4 10 29 53 
54 7371.495 9131.672 4 17 28 51 
55 7376.949 9114.326 4 17 26 59 
56 7383.84 9094.978 4 11 27 44 
57 7401.726 9050.945 4 13 27 53 
58 7415.58 9012.071 4 15 24 55 
59 7418.389 9004.354 3 19 25 54 
60 7430.902 8966.314 4 12 23 59 
61 7443.266 8938.615 3 16 20 44 
62 7451.6 8922.036 5 9 28 58 
63 7460.959 8905.88 3 14 21 48 
64 7473.568 8887.054 5 10 21 53 
65 7486.439 8870.308 4 13 28 51 
66 7510.461 8839.952 3 15 27 40 
67 7523.277 8826.042 4 15 21 40 
68 7548.929 8794.574 5 18 20 41 
69 7549.8 8789.725 3 16 23 51 
70 7552.693 8776.949 5 19 22 58 
71 7549.8 8789.725 5 17 24 55 
72 7548.929 8794.574 3 16 27 51 
73 7523.277 8826.042 4 18 22 54 
74 7510.461 8839.952 5 14 21 45 
75 7486.439 8870.308 3 19 28 56 
76 7473.568 8887.054 3 17 27 41 
77 7460.959 8905.88 4 12 22 55 
78 7451.6 8922.036 4 13 24 44 
79 7443.266 8938.615 4 19 27 57 
80 7430.902 8966.314 4 18 21 48 
81 7418.389 9004.354 3 12 25 58 
82 7415.58 9012.071 4 17 23 47 
83 7401.726 9050.945 3 9 28 43 
84 7383.84 9094.978 3 17 29 47 
85 7376.949 9114.326 4 16 24 49 
86 7371.495 9131.672 5 16 25 43 
87 7358.133 9169.879 3 8 26 57 
88 7338.251 9223.408 4 19 23 40 
89 7329.869 9245.291 5 15 20 42 
90 7322.605 9270.143 4 11 26 58 
91 7318.54 9300.766 3 9 27 43 
92 7317.556 9324.228 5 10 28 52 
93 7317.062 9357.476 4 13 27 59 
94 7317.622 9386.987 4 15 25 55 
95 7318.999 9414.029 3 11 28 57 
96 7320.09 9447.555 4 15 24 49 
97 7321.449 9464.934 3 16 28 53 
98 7323.632 9481.08 3 11 28 52 
99 7327.379 9501.829 3 14 25 55 
100 7331.949 9521.766 4 13 28 58 
101 7335.882 9539.546 3 12 27 50 
102 7341.696 9558.561 5 12 23 47 
103 7351.082 9579.109 4 18 22 53 
104 7366.443 9604.718 4 16 28 46 
105 7400.951 9643.68 3 18 29 58 
106 7366.443 9604.718 5 8 22 42 
107 7351.082 9579.109 3 11 22 40 
108 7341.696 9558.561 5 9 20 59 
109 7335.882 9539.546 3 13 27 47 
110 7331.949 9521.766 3 9 22 43 
111 7327.379 9501.829 3 10 21 48 
112 7323.632 9481.08 3 13 28 49 
113 7321.449 9464.934 4 8 21 50 
114 7320.09 9447.555 5 16 20 43 
115 7318.999 9414.029 4 19 22 41 
116 7317.622 9386.987 4 15 20 46 
117 7317.062 9357.476 3 9 28 53 
118 7317.556 9324.228 3 19 27 56 
119 7317.556 9324.228 4 9 20 51 
